,FEATURE_1,FEATURE_2,FEATURE_3,FEATURE_4,FEATURE_5,FEATURE_6,FEATURE_7,FEATURE_8,FEATURE_9,FEATURE_10,FEATURE_11,FEATURE_12,FEATURE_13,FEATURE_14,FEATURE_15,FEATURE_16,FEATURE_17,FEATURE_18,FEATURE_19,FEATURE_20,FEATURE_21,FEATURE_22,FEATURE_23,FEATURE_24,FEATURE_25,FEATURE_26,FEATURE_27,FEATURE_28,FEATURE_29,FEATURE_30,FEATURE_31,FEATURE_32,MEAN,VARIANCE,PERSON
24,31774,97008,90276,33778,93251,43481,56581,95071,82831,42251,47980,106863,31333,87718,84482,31712,31774,97008,90276,33778,93251,43481,56581,95071,82831,42251,47980,106863,31333,87718,84482,31712,41,7,13
25,35376,72638,85250,32126,93924,51199,55496,90581,92242,33676,57528,93048,33794,102021,103387,40121,35376,72638,85250,32126,93924,51199,55496,90581,92242,33676,57528,93048,33794,102021,103387,40121,41,7,13
26,33011,73536,79462,30432,87050,49277,55566,88848,93625,39972,53925,101140,31735,101972,84022,39363,33011,73536,79462,30432,87050,49277,55566,88848,93625,39972,53925,101140,31735,101972,84022,39363,40,7,13
27,30164,74006,81724,32072,96681,51897,58934,94170,85554,40527,52445,99841,28679,90849,103630,36804,30164,74006,81724,32072,96681,51897,58934,94170,85554,40527,52445,99841,28679,90849,103630,36804,41,7,13
28,38363,90939,93290,31485,103218,56495,55645,102499,101987,45812,51247,83744,38559,98771,99807,28409,38363,90939,93290,31485,103218,56495,55645,102499,101987,45812,51247,83744,38559,98771,99807,28409,43,7,13
29,31208,107314,103962,35180,81977,49751,62155,85479,56942,32676,59555,79767,26621,78834,96616,27757,31208,107314,103962,35180,81977,49751,62155,85479,56942,32676,59555,79767,26621,78834,96616,27757,39,7,13
30,29929,74132,94170,37551,104018,72519,54371,94057,66459,67423,43296,77960,16505,105709,91783,31091,29929,74132,94170,37551,104018,72519,54371,94057,66459,67423,43296,77960,16505,105709,91783,31091,41,7,13
31,32560,108758,102344,39365,97246,50379,69207,96689,95556,50620,50026,73319,34879,86546,82836,18750,32560,108758,102344,39365,97246,50379,69207,96689,95556,50620,50026,73319,34879,86546,82836,18750,42,7,13
32,38761,95800,103771,40652,84269,42778,56904,98898,86362,45791,60059,98720,32917,86137,72091,31474,38761,95800,103771,40652,84269,42778,56904,98898,86362,45791,60059,98720,32917,86137,72091,31474,42,7,14
33,36902,100802,94943,33710,84331,52577,59517,105115,49955,26652,52425,78581,19948,69379,74621,23173,36902,100802,94943,33710,84331,52577,59517,105115,49955,26652,52425,78581,19948,69379,74621,23173,37,7,14
34,32577,89315,51156,15848,61223,57090,71798,79233,81330,67052,53977,88138,24517,71099,87756,26167,32577,89315,51156,15848,61223,57090,71798,79233,81330,67052,53977,88138,24517,71099,87756,26167,37,7,14
35,20695,101933,80352,27951,64275,52235,50166,81955,91135,77061,64997,111440,39817,106739,125890,46942,20695,101933,80352,27951,64275,52235,50166,81955,91135,77061,64997,111440,39817,106739,125890,46942,44,7,14
36,32911,88544,84843,19040,88600,78196,38871,83629,61785,67738,45876,84690,16739,59692,94333,37490,32911,88544,84843,19040,88600,78196,38871,83629,61785,67738,45876,84690,16739,59692,94333,37490,38,7,14
37,29590,44810,39989,18994,78224,47438,51140,102768,77933,47406,48145,88543,15651,73792,71957,33689,29590,44810,39989,18994,78224,47438,51140,102768,77933,47406,48145,88543,15651,73792,71957,33689,33,7,14
38,26839,101991,103955,17355,98184,47698,57593,67551,105709,73086,61359,81270,43823,111597,125626,36695,26839,101991,103955,17355,98184,47698,57593,67551,105709,73086,61359,81270,43823,111597,125626,36695,45,7,14
